sample_id	group	group2	treatment	dose	timepoint	sex	animal_id	RNA_extraction_batch	sacrifice_batch	age_at_treatment	weight_at_treatment	RIN	genotype	notes	project_id	filename
1	H.8h.M.1	H.8h	H.8h.M	psilocybin	1 mg / kg	8 hour	M	1	8	1	8 weeks	26 grams	8.5	C57BL/6		Psi1	Psi1_A1_High_Male
2	H.8h.M.2	H.8h	H.8h.M	psilocybin	1 mg / kg	8 hour	M	2	8	1	8 weeks	26 grams	9.2	C57BL/6		Psi1	Psi1_A2_High_Male
3	H.8h.M.3	H.8h	H.8h.M	psilocybin	1 mg / kg	8 hour	M	3	8	1	8 weeks	26 grams	9.3	C57BL/6		Psi1	Psi1_A3_High_Male
4	H.8h.M.4	H.8h	H.8h.M	psilocybin	1 mg / kg	8 hour	M	4	8	1	8 weeks	26 grams	9.3	C57BL/6		Psi1	Psi1_A4_High_Male
5	H.8h.M.5	H.8h	H.8h.M	psilocybin	1 mg / kg	8 hour	M	5	8	1	8 weeks	26 grams	9.2	C57BL/6		Psi1	Psi1_A5_High_Male
6	H.8h.F.6	H.8h	H.8h.F	psilocybin	1 mg / kg	8 hour	F	6	8	1	8 weeks	18 grams	9.6	C57BL/6		Psi1	Psi1_A6_High_Female
7	H.8h.F.7	H.8h	H.8h.F	psilocybin	1 mg / kg	8 hour	F	7	8	1	8 weeks	18 grams	9.3	C57BL/6		Psi1	Psi1_A7_High_Female
8	H.8h.F.8	H.8h	H.8h.F	psilocybin	1 mg / kg	8 hour	F	8	8	1	8 weeks	18 grams	9.4	C57BL/6		Psi1	Psi1_A8_High_Female
9	H.8h.F.9	H.8h	H.8h.F	psilocybin	1 mg / kg	8 hour	F	9	7	1	8 weeks	18 grams	9.3	C57BL/6		Psi1	Psi1_A9_High_Female
10	H.8h.F.10	H.8h	H.8h.F	psilocybin	1 mg / kg	8 hour	F	10	7	1	8 weeks	18 grams	9.3	C57BL/6		Psi1	Psi1_A10_High_Female
11	L.8h.M.11	L.8h	L.8h.M	psilocybin	0.25 mg / kg	8 hour	M	11	7	1	8 weeks	26 grams	9.2	C57BL/6		Psi1	Psi1_A11_Low_Male
12	L.8h.M.12	L.8h	L.8h.M	psilocybin	0.25 mg / kg	8 hour	M	12	7	1	8 weeks	26 grams	9.2	C57BL/6		Psi1	Psi1_A12_Low_Male
13	L.8h.M.13	L.8h	L.8h.M	psilocybin	0.25 mg / kg	8 hour	M	13	7	1	8 weeks	26 grams	9.3	C57BL/6		Psi1	Psi1_A13_Low_Male
14	L.8h.M.14	L.8h	L.8h.M	psilocybin	0.25 mg / kg	8 hour	M	14	7	1	8 weeks	26 grams	9.2	C57BL/6		Psi1	Psi1_A14_Low_Male
15	L.8h.M.15	L.8h	L.8h.M	psilocybin	0.25 mg / kg	8 hour	M	15	7	1	8 weeks	26 grams	9.4	C57BL/6		Psi1	Psi1_A15_Low_Male
16	L.8h.F.16	L.8h	L.8h.F	psilocybin	0.25 mg / kg	8 hour	F	16	7	1	8 weeks	18 grams	9.3	C57BL/6		Psi1	Psi1_A16_Low_Female
17	L.8h.F.17	L.8h	L.8h.F	psilocybin	0.25 mg / kg	8 hour	F	17	7	1	8 weeks	18 grams	9.3	C57BL/6		Psi1	Psi1_A17_Low_Female
18	L.8h.F.18	L.8h	L.8h.F	psilocybin	0.25 mg / kg	8 hour	F	18	7	1	8 weeks	18 grams	9.2	C57BL/6		Psi1	Psi1_A18_Low_Female
19	L.8h.F.19	L.8h	L.8h.F	psilocybin	0.25 mg / kg	8 hour	F	19	7	1	8 weeks	18 grams	9.6	C57BL/6		Psi1	Psi1_A19_Low_Female
20	L.8h.F.20	L.8h	L.8h.F	psilocybin	0.25 mg / kg	8 hour	F	20	7	1	8 weeks	18 grams	9.5	C57BL/6		Psi1	Psi1_A20_Low_Female
21	S.8h.M.21	S.8h	S.8h.M	saline	0.90%	8 hour	M	21	7	1	8 weeks	26 grams	9.6	C57BL/6		Psi1	Psi1_A21_NS_Male
22	S.8h.M.22	S.8h	S.8h.M	saline	0.90%	8 hour	M	22	7	1	8 weeks	26 grams	9.2	C57BL/6		Psi1	Psi1_A22_NS_Male
