Pathway	Genes	Log10(p)	Direction
regulation of ARF protein signal transduction	PSD|CYTH2|IQSEC2|PSD3|GIT1	-4.884047085	DOWN
Activation of RAC1 downstream of NMDARs	CALM2|CAMKK2|GIT1	-3.565715392	DOWN
regulation of synaptic vesicle membrane organization	GRIK5|CPLX2|ERC2|CPLX3	-4.629813453	DOWN
Long-term potentiation	ADCY1|CALM2|CAMK4|CAMK2A|GRIN2A|GRIN2B|HRAS|ITPR1|PPP1R1A|PPP3CA|PRKCB|PLCB1	-9.442028059	DOWN
regulation of presynaptic membrane potential	GRIK5|GRIN2B|HTR3A|KCNJ3|KCNJ11|KCNMB4	-5.381212076	DOWN
regulation of neuronal synaptic plasticity	CAMK2A|DLG4|GRIN2A|GRIN2B|HRAS|SLC8A2|PPFIA3|SYNGAP1|NOG|JPH3	-7.799313391	DOWN
glial cell migration	FOXG1|RRAS|NR2E1|SUN1|SUN2|P2RY12|APCDD1	-5.247581869	DOWN
glutamate receptor signaling pathway	GRIK5|GRIN2A|GRIN2B|GRM2|KCNB1|MEF2C|PLCB1	-5.247581869	DOWN
synaptic vesicle exocytosis	SEPTIN5|PPFIA3|CPLX2|RIMS1|PIP5K1C|ERC2|CADPS2|CPLX3	-5.362380555	DOWN
Glutamatergic synapse	ADCY1|DLG4|GRIK5|GRIN2A|GRIN2B|GRM2|ITPR1|KCNJ3|PPP3CA|PRKCB|SLC1A2|DLGAP1|PLCB1|SLC17A7	-8.558446775	DOWN
common myeloid progenitor cell proliferation	CEACAM1|FLT3|LIPA	-3.904587031	UP
protein hydroxylation	PLOD1|P4HA2|P4HA3|JMJD7	-3.872975656	UP
Collagen biosynthesis and modifying enzymes	COL4A1|COL4A2|COL15A1|COL16A1|PLOD1|P4HA2|COL5A3|P4HA3	-5.953100103	UP
NABA COLLAGENS	COL4A1|COL4A2|COL15A1|COL16A1|COL5A3	-3.80929368	UP
Collagen degradation	COL4A1|COL4A2|COL15A1|COL16A1|MMP14|COL5A3	-3.995518984	UP
Collagen formation	COL4A1|COL4A2|COL15A1|COL16A1|PLOD1|P4HA2|COL5A3|P4HA3	-4.97887114	UP
leukocyte homeostasis	FLT3|LIPA|CCNB2|CHST3|TCIRG1|XKR8|SLC15A4	-3.845967319	UP
extracellular matrix organization	COL4A1|COL4A2|COL15A1|COL16A1|GAS2|MMP14|NFKB2|COLQ|MMP23B|POMT1|NPHP3|COL5A3|IMPG2|ADAMTSL4|ADAMTS16	-6.021647022	UP
regulation of cell morphogenesis	EPS8|GAS2|PLXNB3|SPARC|SPRY3|EPB41L3|PARVB|PLXNA3|RHOJ|CAPRIN2|FGD5	-3.797160825	UP
Transcriptional Regulation by NPAS4	XPO1|TNRC6A|AGO3	-2.145271252	UP
