Pathway	Genes	Log10(p)	Direction
Mitochondrial gene expression	CAMK4|PPP3CA|SP1	-3.890403698	DOWN
Circadian rhythm	DBP|RORB|NR1D1|NR1D2	-4.525690756	DOWN
Oxytocin signaling pathway	CACNB4|CALM2|CAMK4|GUCY1B1|KCNJ3|KCNJ4|PIK3CG|PPP3CA	-5.788201953	DOWN
regulation of dendrite development	CUX1|PPP3CA|PTN|CDKL5|HECW2	-3.727719118	DOWN
DNA replication initiation	CCNE1|CDC45|CCNE2	-3.376417718	DOWN
PID FOXM1 PATHWAY	BRCA2|CCNE1|LAMA4|SP1	-4.241708594	DOWN
nucleotide transmembrane transport	SLC25A16|LRRC8B|SLC35B2	-3.286572107	DOWN
miRNA regulation of DNA damage response	CASP3|CCNE1|CCNE2|TLK1	-3.224060949	DOWN
podocyte cell migration	KANK1|DAAM2|ANLN	-4.540442653	UP
Scavenging by Class A Receptors	CALR|COL4A1|COL4A2|HSP90B1	-4.559813879	UP
Photodynamic therapy induced unfolded protein response	CALR|HSPA5|HSP90B1|PDIA6|DNAJB11	-5.295302599	UP
Binding and Uptake of Ligands by Scavenger Receptors	CALR|COL4A1|COL4A2|HSP90B1|HYOU1|HSPH1	-5.56300365	UP
endothelial cell proliferation	CALCA|FGF10|LIPA|MMP14|VEGFA	-4.596671357	UP
Collagen biosynthesis and modifying enzymes	COL4A1|COL4A2|COL16A1|PLOD1|TLL2|P3H3|COL5A3|COL20A1	-6.619098788	UP
axoneme assembly	DNAH5|FOXJ1|TTLL3|DNAI1|STK36|CFAP46|DNAH7|DNAI4|ODAD3|PIERCE1|SPAG17	-8.458517839	UP
microtubule bundle formation	DNAH5|FOXJ1|TTLL3|DNAI1|STK36|TPPP3|CFAP46|CDK5RAP2|DNAH7|DNAI4|ODAD3|PIERCE1|SPAG17	-9.423489784	UP
regulation of cell-cell adhesion mediated by cadherin	NOTCH4|VEGFA|ADAM19|PTPRU	-4.377634309	UP
positive regulation of cellular extravasation	ADAM8|ICAM1|LYVE1	-3.134881887	UP
