sample_name	organism	strain	age	collection_date	geo_loc_name	tissue	group	treatment	dose	timepoint	sex	animal_id	age_at_treatment	weight_at_treatment	RIN	sacrifice_batch	RNA_extraction_batch
psilo.high.8h.M.1	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.high.8h	psilocybin	1 mg / kg	8 hour	M	1	8 weeks	26 grams	8.5	1	8
psilo.high.8h.M.2	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.high.8h	psilocybin	1 mg / kg	8 hour	M	2	8 weeks	26 grams	9.2	1	8
psilo.high.8h.M.3	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.high.8h	psilocybin	1 mg / kg	8 hour	M	3	8 weeks	26 grams	9.3	1	8
psilo.high.8h.M.4	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.high.8h	psilocybin	1 mg / kg	8 hour	M	4	8 weeks	26 grams	9.3	1	8
psilo.high.8h.M.5	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.high.8h	psilocybin	1 mg / kg	8 hour	M	5	8 weeks	26 grams	9.2	1	8
psilo.high.8h.F.6	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.high.8h	psilocybin	1 mg / kg	8 hour	F	6	8 weeks	18 grams	9.6	1	8
psilo.high.8h.F.7	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.high.8h	psilocybin	1 mg / kg	8 hour	F	7	8 weeks	18 grams	9.3	1	8
psilo.high.8h.F.8	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.high.8h	psilocybin	1 mg / kg	8 hour	F	8	8 weeks	18 grams	9.4	1	8
psilo.high.8h.F.9	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.high.8h	psilocybin	1 mg / kg	8 hour	F	9	8 weeks	18 grams	9.3	1	7
psilo.high.8h.F.10	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.high.8h	psilocybin	1 mg / kg	8 hour	F	10	8 weeks	18 grams	9.3	1	7
psilo.low.8h.M.11	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.low.8h	psilocybin	0.25 mg / kg	8 hour	M	11	8 weeks	26 grams	9.2	1	7
psilo.low.8h.M.12	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.low.8h	psilocybin	0.25 mg / kg	8 hour	M	12	8 weeks	26 grams	9.2	1	7
psilo.low.8h.M.13	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.low.8h	psilocybin	0.25 mg / kg	8 hour	M	13	8 weeks	26 grams	9.3	1	7
psilo.low.8h.M.14	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.low.8h	psilocybin	0.25 mg / kg	8 hour	M	14	8 weeks	26 grams	9.2	1	7
psilo.low.8h.M.15	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.low.8h	psilocybin	0.25 mg / kg	8 hour	M	15	8 weeks	26 grams	9.4	1	7
psilo.low.8h.F.16	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.low.8h	psilocybin	0.25 mg / kg	8 hour	F	16	8 weeks	18 grams	9.3	1	7
psilo.low.8h.F.17	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.low.8h	psilocybin	0.25 mg / kg	8 hour	F	17	8 weeks	18 grams	9.3	1	7
psilo.low.8h.F.18	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.low.8h	psilocybin	0.25 mg / kg	8 hour	F	18	8 weeks	18 grams	9.2	1	7
psilo.low.8h.F.19	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.low.8h	psilocybin	0.25 mg / kg	8 hour	F	19	8 weeks	18 grams	9.6	1	7
psilo.low.8h.F.20	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.low.8h	psilocybin	0.25 mg / kg	8 hour	F	20	8 weeks	18 grams	9.5	1	7
sal.8h.M.21	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	sal.8h	saline	0.9%	8 hour	M	21	8 weeks	26 grams	9.6	1	7
sal.8h.M.22	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	sal.8h	saline	0.9%	8 hour	M	22	8 weeks	26 grams	9.2	1	7
sal.8h.M.23	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	sal.8h	saline	0.9%	8 hour	M	23	8 weeks	26 grams	9.2	1	6
