sample_id	group	treatment	dose	timepoint	sex	animal_id	age_at_treatment	weight_at_treatment	RIN	genotype	notes	project_id	sacrifice_batch	RNA_extraction_batch	filename	instrument	run	flow_cell	lane
1	psilo.high.8h.M.1	psilo.high.8h	psilocybin	1 mg / kg	8 hour	M	1	8 weeks	26 grams	8.5	C57BL/6	NA	Psil1	1	8	Psi1_A1_High_Male	A00938	580	HTWCMDSX7	3
2	psilo.high.8h.M.2	psilo.high.8h	psilocybin	1 mg / kg	8 hour	M	2	8 weeks	26 grams	9.2	C57BL/6	NA	Psil1	1	8	Psi1_A2_High_Male	A00938	580	HTWCMDSX7	3
3	psilo.high.8h.M.3	psilo.high.8h	psilocybin	1 mg / kg	8 hour	M	3	8 weeks	26 grams	9.3	C57BL/6	NA	Psil1	1	8	Psi1_A3_High_Male	A00938	580	HTWCMDSX7	3
4	psilo.high.8h.M.4	psilo.high.8h	psilocybin	1 mg / kg	8 hour	M	4	8 weeks	26 grams	9.3	C57BL/6	NA	Psil1	1	8	Psi1_A4_High_Male	A00938	580	HTWCMDSX7	3
5	psilo.high.8h.M.5	psilo.high.8h	psilocybin	1 mg / kg	8 hour	M	5	8 weeks	26 grams	9.2	C57BL/6	NA	Psil1	1	8	Psi1_A5_High_Male	A00938	580	HTWCMDSX7	3
6	psilo.high.8h.F.6	psilo.high.8h	psilocybin	1 mg / kg	8 hour	F	6	8 weeks	18 grams	9.6	C57BL/6	NA	Psil1	1	8	Psi1_A6_High_Female	A00938	580	HTWCMDSX7	3
7	psilo.high.8h.F.7	psilo.high.8h	psilocybin	1 mg / kg	8 hour	F	7	8 weeks	18 grams	9.3	C57BL/6	NA	Psil1	1	8	Psi1_A7_High_Female	A00938	580	HTWCMDSX7	3
8	psilo.high.8h.F.8	psilo.high.8h	psilocybin	1 mg / kg	8 hour	F	8	8 weeks	18 grams	9.4	C57BL/6	NA	Psil1	1	8	Psi1_A8_High_Female	A00938	580	HTWCMDSX7	3
9	psilo.high.8h.F.9	psilo.high.8h	psilocybin	1 mg / kg	8 hour	F	9	8 weeks	18 grams	9.3	C57BL/6	NA	Psil1	1	7	Psi1_A9_High_Female	A00938	580	HTWCMDSX7	3
10	psilo.high.8h.F.10	psilo.high.8h	psilocybin	1 mg / kg	8 hour	F	10	8 weeks	18 grams	9.3	C57BL/6	NA	Psil1	1	7	Psi1_A10_High_Female	A00938	580	HTWCMDSX7	3
11	psilo.low.8h.M.11	psilo.low.8h	psilocybin	0.25 mg / kg	8 hour	M	11	8 weeks	26 grams	9.2	C57BL/6	NA	Psil1	1	7	Psi1_A11_Low_Male	A00938	580	HTWCMDSX7	3
12	psilo.low.8h.M.12	psilo.low.8h	psilocybin	0.25 mg / kg	8 hour	M	12	8 weeks	26 grams	9.2	C57BL/6	NA	Psil1	1	7	Psi1_A12_Low_Male	A00938	580	HTWCMDSX7	3
13	psilo.low.8h.M.13	psilo.low.8h	psilocybin	0.25 mg / kg	8 hour	M	13	8 weeks	26 grams	9.3	C57BL/6	NA	Psil1	1	7	Psi1_A13_Low_Male	A00938	580	HTWCMDSX7	3
14	psilo.low.8h.M.14	psilo.low.8h	psilocybin	0.25 mg / kg	8 hour	M	14	8 weeks	26 grams	9.2	C57BL/6	NA	Psil1	1	7	Psi1_A14_Low_Male	A00938	580	HTWCMDSX7	3
15	psilo.low.8h.M.15	psilo.low.8h	psilocybin	0.25 mg / kg	8 hour	M	15	8 weeks	26 grams	9.4	C57BL/6	NA	Psil1	1	7	Psi1_A15_Low_Male	A00938	580	HTWCMDSX7	3
