species	phase	gene_id	gene_name
human	G2/M	ENSG00000011426	ANLN
human	G2/M	ENSG00000013810	TACC3
human	G2/M	ENSG00000072571	HMMR
human	G2/M	ENSG00000075218	GTSE1
human	G2/M	ENSG00000080986	NDC80
human	G2/M	ENSG00000087586	AURKA
human	G2/M	ENSG00000088325	TPX2
human	G2/M	ENSG00000089685	BIRC5
human	G2/M	ENSG00000092140	G2E3
human	G2/M	ENSG00000094916	CBX5
human	G2/M	ENSG00000100401	RANGAP1
human	G2/M	ENSG00000102974	CTCF
human	G2/M	ENSG00000111665	CDCA3
human	G2/M	ENSG00000112742	TTK
human	G2/M	ENSG00000113810	SMC4
human	G2/M	ENSG00000114346	ECT2
human	G2/M	ENSG00000115163	CENPA
human	G2/M	ENSG00000117399	CDC20
human	G2/M	ENSG00000117650	NEK2
human	G2/M	ENSG00000117724	CENPF
human	G2/M	ENSG00000120802	TMPO
human	G2/M	ENSG00000123485	HJURP
human	G2/M	ENSG00000123975	CKS2
human	G2/M	ENSG00000126787	DLGAP5
human	G2/M	ENSG00000129195	PIMREG
human	G2/M	ENSG00000131747	TOP2A
human	G2/M	ENSG00000134222	PSRC1
human	G2/M	ENSG00000134690	CDCA8
human	G2/M	ENSG00000136108	CKAP2
human	G2/M	ENSG00000137804	NUSAP1
human	G2/M	ENSG00000137807	KIF23
human	G2/M	ENSG00000138160	KIF11
human	G2/M	ENSG00000138182	KIF20B
human	G2/M	ENSG00000138778	CENPE
human	G2/M	ENSG00000139354	GAS2L3
human	G2/M	ENSG00000142945	KIF2C
human	G2/M	ENSG00000143228	NUF2
human	G2/M	ENSG00000143401	ANP32E
human	G2/M	ENSG00000143815	LBR
human	G2/M	ENSG00000148773	MKI67
human	G2/M	ENSG00000157456	CCNB2
human	G2/M	ENSG00000158402	CDC25C
human	G2/M	ENSG00000164104	HMGB2
human	G2/M	ENSG00000169607	CKAP2L
human	G2/M	ENSG00000169679	BUB1
human	G2/M	ENSG00000170312	CDK1
human	G2/M	ENSG00000173207	CKS1B
human	G2/M	ENSG00000175063	UBE2C
human	G2/M	ENSG00000175216	CKAP5
human	G2/M	ENSG00000178999	AURKB
human	G2/M	ENSG00000184661	CDCA2
human	G2/M	ENSG00000188229	TUBB4B
human	G2/M	ENSG00000189159	JPT1
human	S	ENSG00000012963	UBR7
human	S	ENSG00000049541	RFC2
human	S	ENSG00000051180	RAD51
human	S	ENSG00000073111	MCM2
human	S	ENSG00000075131	TIPIN
human	S	ENSG00000076003	MCM6
human	S	ENSG00000076248	UNG
human	S	ENSG00000077514	POLD3
human	S	ENSG00000092470	WDR76
human	S	ENSG00000092853	CLSPN
human	S	ENSG00000093009	CDC45
human	S	ENSG00000094804	CDC6
human	S	ENSG00000095002	MSH2
human	S	ENSG00000100297	MCM5
human	S	ENSG00000101868	POLA1
human	S	ENSG00000104738	MCM4
human	S	ENSG00000111247	RAD51AP1
human	S	ENSG00000112312	GMNN
human	S	ENSG00000117748	RPA2
human	S	ENSG00000118412	CASP8AP2
human	S	ENSG00000119969	HELLS
human	S	ENSG00000129173	E2F8
human	S	ENSG00000131153	GINS2
human	S	ENSG00000132646	PCNA
human	S	ENSG00000132780	NASP
human	S	ENSG00000136492	BRIP1
human	S	ENSG00000136982	DSCC1
human	S	ENSG00000143476	DTL
human	S	ENSG00000144354	CDCA7
human	S	ENSG00000151725	CENPU
human	S	ENSG00000156802	ATAD2
human	S	ENSG00000159259	CHAF1B
human	S	ENSG00000162607	USP1
human	S	ENSG00000163950	SLBP
human	S	ENSG00000167325	RRM1
human	S	ENSG00000168496	FEN1
human	S	ENSG00000171848	RRM2
human	S	ENSG00000174371	EXO1
human	S	ENSG00000175305	CCNE2
human	S	ENSG00000176890	TYMS
human	S	ENSG00000197299	BLM
human	S	ENSG00000198056	PRIM1
human	S	ENSG00000276043	UHRF1
mouse	G2/M	ENSMUSG00000001403	Ube2c
mouse	G2/M	ENSMUSG00000004880	Lbr
mouse	G2/M	ENSMUSG00000005698	Ctcf
mouse	G2/M	ENSMUSG00000006398	Cdc20
mouse	G2/M	ENSMUSG00000009575	Cbx5
mouse	G2/M	ENSMUSG00000012443	Kif11
mouse	G2/M	ENSMUSG00000015749	Anp32e
mouse	G2/M	ENSMUSG00000017716	Birc5
mouse	G2/M	ENSMUSG00000019942	Cdk1
mouse	G2/M	ENSMUSG00000019961	Tmpo
mouse	G2/M	ENSMUSG00000020330	Hmmr
mouse	G2/M	ENSMUSG00000020737	Jpt1
mouse	G2/M	ENSMUSG00000020808	Pimreg
mouse	G2/M	ENSMUSG00000020897	Aurkb
mouse	G2/M	ENSMUSG00000020914	Top2a
mouse	G2/M	ENSMUSG00000022385	Gtse1
mouse	G2/M	ENSMUSG00000022391	Rangap1
mouse	G2/M	ENSMUSG00000023505	Cdca3
